"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"69","<U+2605> @PDdancing gears for #Dabangg3! “I have five different projects in Tamil as an actor which are in various stages… https://t.co/aWA7X3SwOL",FALSE,45,NA,2019-01-28 04:06:39,TRUE,NA,"1089736488999415809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SalmanKhanHolic",15,FALSE,FALSE,NA,NA
"70","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-28 04:05:57,FALSE,NA,"1089736310208765952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","t3reed",17,TRUE,FALSE,NA,NA
"71","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-28 04:00:50,FALSE,NA,"1089735021626179584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Erfan773",17,TRUE,FALSE,NA,NA
"72","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 03:59:57,FALSE,NA,"1089734800687001603",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Erfan773",28,TRUE,FALSE,NA,NA
"73","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 03:55:19,FALSE,NA,"1089733634079129600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_yogesh22",28,TRUE,FALSE,NA,NA
"74","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-28 03:53:48,FALSE,NA,"1089733251986542592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iBeing_Gaurav",17,TRUE,FALSE,NA,NA
"75","RT @mystery0725: Prabhudheva: “I have 5 different projects in Tamil as an actor which are in  various stages of completion. And, I’ve to fi…",FALSE,0,NA,2019-01-28 03:42:18,FALSE,NA,"1089730359758151680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prashan24170257",17,TRUE,FALSE,NA,NA
"76","RT @Iftykhan15: “I am working hard to ensure Dabangg 3 turns out as effective as the previous Dabangg films. Salman Khan and Arbaaz Khan ha…",FALSE,0,NA,2019-01-28 03:42:10,FALSE,NA,"1089730325427548161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeingAltaf",8,TRUE,FALSE,NA,NA
"77","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 03:39:21,FALSE,NA,"1089729615160061952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prashan24170257",28,TRUE,FALSE,NA,NA
"78","RT @mystery0725: Prabhudheva gears for #Dabangg3 || https://t.co/o7MHx5p2fo
#SalmanKhan",FALSE,0,NA,2019-01-28 03:25:30,FALSE,NA,"1089726132016967680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SatishJ27140868",28,TRUE,FALSE,NA,NA
